ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2017;301280;;;;2;;;1;5; 5; 1; 4; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34575.11;34575.11;-34575.11;0
2017;301280;;;;2;;;1;5; 5; 1; 4;99;1144538;697263;1841801;1330503.64;353174.55;127724.29;501805.45;253360.56;3535837.26;161631.8;277654.49;406271.7;91905.93;222026.8;58935.51;7320831.98;-5479030.98;397.48
2017;301280;;;;2;;;1;9; 1; 1; 1; 1;0;4954008;4954008;5298136.5;-372298.01;-186.52;-1498.97;-202853;-46640.03;-51532.53;-36589.49;-11283.2;-6527.42;-25136.66;-80010.48;4463580.19;490427.81;90.1
2017;301280;;;;4;;;1;9; 1; 1; 1; 1;0;10238;10238;10238;0;0;0;0;0;0;0;0;0;0;0;10238;0;100
2017;301280;;;;5;;;1;1; 2; 1; 1; 1;78433364;3942698;82376062;3932767.48;33764281.74;5442473.68;2649347.67;8427257.45;2904125.42;2232457.1;7349280.61;2632750.26;1438381.43;6730315.15;2451189.08;79954627.07;2421434.93;97.06
2017;301280;;;;5;;;1;1; 2; 1; 2; 1;19025543;3064527;22090070;0;0;5618509.35;1429642.54;1251965.02;2717413.78;1727657.99;2586013.56;1220080.96;2467816.16;3053551.55;3635233.57;25707884.48;-3617814.48;116.38
2017;301280;;;;5;;;1;1; 3; 3; 3; 1;1304994;0;1304994;27643.9;0;192229.47;0;67672.18;69556.01;73314.38;151501.19;68927.27;87813.42;80430.22;60713.83;879801.87;425192.13;67.42
2017;301280;;;;5;;;1;1; 3; 3; 3; 4;381255;0;381255;9727.17;52564.82;9437.51;18260.35;14925;8153.5;27287.38;0;14430.03;24139;76.02;25637.2;204637.98;176617.02;53.67
2017;301280;;;;5;;;1;1; 3; 3; 3; 5;6158675;0;6158675;414322.59;0;1082555.26;0;492559.11;523954.79;498377.65;970559.59;528375.43;486682.48;435042.57;451014.34;5883443.81;275231.19;95.53
2017;301280;;;;5;;;1;1; 5; 2; 1; 1;79906;501522;581428;2995.92;4181.88;3338.17;4482.12;5956.73;8624.94;6535.44;12405.13;10426.26;242276.04;228938.59;257369.07;787530.29;-206102.29;135.45
2017;301280;;;;5;;;1;4; 1; 4; 1; 3;5363;0;5363;0;0;0;0;0;0;0;4177.44;0;0;0;0;4177.44;1185.56;77.89
